"Time","Arrests by Race USA All Offenses All Races Adult  - Arrests  - #","Arrests by Race USA All Offenses All Races Adult  - Arrests per 100000 Inhabitants  - #"
"2016",8183098,2532.00
"2015",8257377,2569.00
"2014",8358040,2621.00
"2013",9402639,2974.00
"2012",8949356,2851.00
"2011",9035569,2900.00
"2010",9446767,3060.00
"2009",9813204,3196.00
"2008",9683601,3185.00
"2007",9653130,3200.00
"2006",9587718,3202.00
"2005",9484886,3200.00
"2004",9338351,3180.00
"2003",9059893,3115.00
"2002",9421089,3267.00
"2001",9381353,3294.00
"2000",9442381,3356.00
"1999",9475011,3475.00
"1998",9843221,3642.00
"1997",10074716,3764.00
"1996",9754725,3677.00
"1995",10330751,3932.00
"1994",10236717,3932.00
"1993",10194463,3953.00
"1992",10894012,4271.00
"1991",10026098,3978.00
"1990",10638861,4278.00
"1989",10080956,4061.00
"1988",9200783,3743.00
"1987",9652785,3966.00
"1986",9524551,3951.00
"1985",9178639,3845.00
"1984",9003473,3812.00
"1983",8964873,3831.00
"1982",8910524,3796.00
"1981",8275600,3562.00
"1980",7841872,3434.00
